trip_id,departure_time,stop_id,stop_sequence
1A,05:30:00,051,1
1A,05:36:00,028,2
1A,05:38:00,086,3
1A,05:40:00,064,4
1A,05:42:00,112,5
1A,05:44:00,004,6
1A,05:50:00,090,7
1A,05:55:00,039,8
1A,06:00:00,070,9
1A,06:03:00,043,10
1A,06:05:00,120,11
1A,06:08:00,021,12
1A,06:11:00,078,13
1A,06:15:00,042,14
1A,06:20:00,031,15
1A,06:23:00,022,16
1A,06:25:00,032,17
1A,06:26:00,069,18
1A,06:27:00,029,19
1A,06:28:00,059,20
1A,06:29:00,052,21
1A,06:37:00,099,22
1A,06:41:00,057,23
1A,06:46:00,019,24
1A,06:28:00,111,25
1A,06:50:00,004,26
1A,06:53:00,095,27
1A,06:55:00,054,28
1A,07:00:00,046,29
1A,07:03:00,045,30
1A,07:06:00,033,31
1A,07:09:00,010,32
1A,07:12:00,041,33
1A,07:19:00,087,34
1A,09:30:00,051,1
1A,09:36:00,028,2
1A,09:38:00,086,3
1A,09:40:00,064,4
1A,09:42:00,112,5
1A,09:44:00,004,6
1A,09:50:00,090,7
1A,09:55:00,039,8
1A,10:00:00,070,9
1A,10:03:00,043,10
1A,10:05:00,120,11
1A,10:08:00,021,12
1A,10:11:00,078,13
1A,10:15:00,042,14
1A,10:20:00,031,15
1A,10:23:00,022,16
1A,10:25:00,032,17
1A,10:26:00,069,18
1A,10:27:00,029,19
1A,10:28:00,059,20
1A,10:29:00,052,21
1A,10:37:00,099,22
1A,10:41:00,057,23
1A,10:46:00,019,24
1A,10:28:00,111,25
1A,10:50:00,004,26
1A,10:53:00,095,27
1A,10:55:00,054,28
1A,11:00:00,046,29
1A,11:03:00,045,30
1A,11:06:00,033,31
1A,11:09:00,010,32
1A,11:12:00,041,33
1A,11:19:00,087,34
1A,13:30:00,051,1
1A,13:36:00,028,2
1A,13:38:00,086,3
1A,13:40:00,064,4
1A,13:42:00,112,5
1A,13:44:00,004,6
1A,13:50:00,090,7
1A,13:55:00,039,8
1A,14:00:00,070,9
1A,14:03:00,043,10
1A,14:05:00,120,11
1A,14:08:00,021,12
1A,14:11:00,078,13
1A,14:15:00,042,14
1A,14:20:00,031,15
1A,14:23:00,022,16
1A,14:25:00,032,17
1A,14:26:00,069,18
1A,14:27:00,029,19
1A,14:28:00,059,20
1A,14:29:00,052,21
1A,14:37:00,099,22
1A,14:41:00,057,23
1A,14:46:00,019,24
1A,14:28:00,111,25
1A,14:50:00,004,26
1A,14:53:00,095,27
1A,14:55:00,054,28
1A,15:00:00,046,29
1A,15:03:00,045,30
1A,15:06:00,033,31
1A,15:09:00,010,32
1A,15:12:00,041,33
1A,15:19:00,087,34
1A,17:30:00,051,1
1A,17:36:00,028,2
1A,17:38:00,086,3
1A,17:40:00,064,4
1A,17:42:00,112,5
1A,17:44:00,004,6
1A,17:50:00,090,7
1A,17:55:00,039,8
1A,18:00:00,070,9
1A,18:03:00,043,10
1A,18:05:00,120,11
1A,18:08:00,021,12
1A,18:11:00,078,13
1A,18:15:00,042,14
1A,18:20:00,031,15
1A,18:23:00,022,16
1A,18:25:00,032,17
1A,18:26:00,069,18
1A,18:27:00,029,19
1A,18:28:00,059,20
1A,18:29:00,052,21
1A,18:37:00,099,22
1A,18:41:00,057,23
1A,18:46:00,019,24
